folder,provider,model,filename,period,judge,coverage_count,topic_auth_failure_analysis,topic_mfa_coverage,topic_privileged_access,topic_account_lockout,topic_password_policy,topic_ip_reputation,topic_session_management,topic_access_review_cadence,topic_rbac_least_privilege,topic_anomaly_detection,topic_regulatory_mapping,topic_trend_analysis
ChatGPT,EXTERNAL,gpt-5.4-nano,2_access_control_report_2019-11-07T00-00-00.md,2019-11-07T00-00-00,Claude,9,True,True,True,True,False,True,False,True,False,True,True,True
ChatGPT,EXTERNAL,gpt-5.4-nano,5_access_control_report_2019-11-07T00-00-00.md,2019-11-07T00-00-00,Claude,8,True,True,True,True,False,False,False,True,False,True,True,True
ChatGPT,EXTERNAL,gpt-5.4-nano,4_access_control_report_2020-02-05T00-00-00.md,2020-02-05T00-00-00,Claude,8,True,True,True,True,False,False,False,True,False,True,True,True
ChatGPT,EXTERNAL,gpt-5.4-nano,2_access_control_report_2020-02-05T00-00-00.md,2020-02-05T00-00-00,Claude,9,True,True,True,True,False,True,False,True,False,True,True,True
ChatGPT,EXTERNAL,gpt-5.4-nano,2_access_control_report_2020-05-05T00-00-00.md,2020-05-05T00-00-00,Claude,9,True,True,True,True,False,True,False,True,False,True,True,True
ChatGPT,EXTERNAL,gpt-5.4-nano,1_access_control_report_2020-05-05T00-00-00.md,2020-05-05T00-00-00,Claude,9,True,True,True,True,False,True,False,True,False,True,True,True
ChatGPT,EXTERNAL,gpt-5.4-nano,1_access_control_report_2020-08-03T00-00-00.md,2020-08-03T00-00-00,Claude,9,True,True,True,True,False,True,False,True,False,True,True,True
ChatGPT,EXTERNAL,gpt-5.4-nano,2_access_control_report_2020-08-03T00-00-00.md,2020-08-03T00-00-00,Claude,8,True,True,True,True,False,True,False,False,False,True,True,True
ChatGPT,EXTERNAL,gpt-5.4-nano,1_access_control_report_2020-11-01T00-00-00.md,2020-11-01T00-00-00,Claude,9,True,True,True,True,False,True,False,True,False,True,True,True
ChatGPT,EXTERNAL,gpt-5.4-nano,3_access_control_report_2020-11-01T00-00-00.md,2020-11-01T00-00-00,Claude,9,True,True,True,True,False,True,False,True,False,True,True,True
ChatGPT,EXTERNAL,gpt-5.4-nano,5_access_control_report_2021-01-30T00-00-00.md,2021-01-30T00-00-00,Claude,9,True,True,True,True,False,True,False,True,False,True,True,True
ChatGPT,EXTERNAL,gpt-5.4-nano,3_access_control_report_unknown.md,unknown,Claude,7,True,True,True,False,False,False,False,True,False,True,True,True
Ollama,LOCAL,llama3.1:8b,2_access_control_report_2019-11-07T00-00-00.md,2019-11-07T00-00-00,Claude,7,True,True,True,True,False,False,False,True,False,False,True,True
Ollama,LOCAL,llama3.1:8b,3_access_control_report_2019-11-07T00-00-00.md,2019-11-07T00-00-00,Claude,9,True,True,True,True,False,True,False,True,False,True,True,True
Ollama,LOCAL,llama3.1:8b,1_access_control_report_2020-02-05T00-00-00.md,2020-02-05T00-00-00,Claude,6,True,True,True,True,False,False,False,False,False,False,True,True
Ollama,LOCAL,llama3.1:8b,4_access_control_report_2020-02-05T00-00-00.md,2020-02-05T00-00-00,Claude,8,True,True,False,True,True,True,False,False,False,True,True,True
Ollama,LOCAL,llama3.1:8b,1_access_control_report_2020-05-05T00-00-00.md,2020-05-05T00-00-00,Claude,8,True,True,True,True,False,True,False,False,False,True,True,True
Ollama,LOCAL,llama3.1:8b,2_access_control_report_2020-05-05T00-00-00.md,2020-05-05T00-00-00,Claude,5,True,True,False,True,False,False,False,False,False,True,True,False
Ollama,LOCAL,llama3.1:8b,1_access_control_report_2020-08-03T00-00-00.md,2020-08-03T00-00-00,Claude,6,True,True,True,True,False,False,False,False,False,False,True,True
Ollama,LOCAL,llama3.1:8b,2_access_control_report_2020-08-03T00-00-00.md,2020-08-03T00-00-00,Claude,6,True,True,True,True,False,False,False,False,False,False,True,True
Ollama,LOCAL,llama3.1:8b,2_access_control_report_2020-11-01T00-00-00.md,2020-11-01T00-00-00,Claude,6,True,True,True,True,False,False,False,False,False,False,True,True
Ollama,LOCAL,llama3.1:8b,4_access_control_report_2020-11-01T00-00-00.md,2020-11-01T00-00-00,Claude,8,True,True,True,True,False,False,False,True,False,True,True,True
Ollama,LOCAL,llama3.1:8b,4_access_control_report_2021-01-30T00-00-00.md,2021-01-30T00-00-00,Claude,8,True,True,True,True,False,True,False,False,False,True,True,True
Ollama,LOCAL,llama3.1:8b,5_access_control_report_unknown.md,unknown,Claude,5,True,True,True,False,False,False,False,False,False,False,True,True
Qwen,EXTERNAL,Qwen/Qwen3-32B-TEE,3_access_control_report_2019-11-07T00-00-00.md,2019-11-07T00-00-00,Claude,9,True,True,True,True,False,False,False,True,True,True,True,True
Qwen,EXTERNAL,Qwen/Qwen3-32B-TEE,4_access_control_report_2019-11-07T00-00-00.md,2019-11-07T00-00-00,Claude,10,True,True,True,True,False,True,False,True,True,True,True,True
Qwen,EXTERNAL,Qwen/Qwen3-32B-TEE,1_access_control_report_2020-02-05T00-00-00.md,2020-02-05T00-00-00,Claude,8,True,True,True,True,False,True,False,False,False,True,True,True
Qwen,EXTERNAL,Qwen/Qwen3-32B-TEE,5_access_control_report_2020-02-05T00-00-00.md,2020-02-05T00-00-00,Claude,9,True,True,True,True,False,True,False,True,False,True,True,True
Qwen,EXTERNAL,Qwen/Qwen3-32B-TEE,2_access_control_report_2020-05-05T00-00-00.md,2020-05-05T00-00-00,Claude,9,True,True,True,True,False,True,False,False,True,True,True,True
Qwen,EXTERNAL,Qwen/Qwen3-32B-TEE,5_access_control_report_2020-05-05T00-00-00.md,2020-05-05T00-00-00,Claude,10,True,True,True,True,False,True,False,True,True,True,True,True
Qwen,EXTERNAL,Qwen/Qwen3-32B-TEE,5_access_control_report_2020-08-03T00-00-00.md,2020-08-03T00-00-00,Claude,10,True,True,True,True,False,True,False,True,True,True,True,True
Qwen,EXTERNAL,Qwen/Qwen3-32B-TEE,3_access_control_report_2020-08-03T00-00-00.md,2020-08-03T00-00-00,Claude,8,True,True,True,True,False,True,False,False,False,True,True,True
Qwen,EXTERNAL,Qwen/Qwen3-32B-TEE,1_access_control_report_2020-11-01T00-00-00.md,2020-11-01T00-00-00,Claude,9,True,True,True,True,False,False,False,True,True,True,True,True
Qwen,EXTERNAL,Qwen/Qwen3-32B-TEE,3_access_control_report_2020-11-01T00-00-00.md,2020-11-01T00-00-00,Claude,9,True,True,True,True,False,True,False,True,False,True,True,True
Qwen,EXTERNAL,Qwen/Qwen3-32B-TEE,3_access_control_report_2021-01-30T00-00-00.md,2021-01-30T00-00-00,Claude,9,True,True,True,True,False,True,False,True,False,True,True,True
Qwen,EXTERNAL,Qwen/Qwen3-32B-TEE,1_access_control_report_unknown.md,unknown,Claude,6,True,True,True,False,False,False,False,True,False,False,True,True
